topic,topic_size,dominant_sentiment,positive_count,positive_percentage,negative_count,negative_percentage,neutral_count,neutral_percentage,avg_sentiment_score,top_keywords,keyword_string
16,54,POSITIVE,28,51.85,26,48.15,0,0.0,0.874,"['amsterdam', 'tulips', 'unnecessary', 'jokes', 'plot']","amsterdam, tulips, unnecessary, jokes, plot"
17,53,NEGATIVE,5,9.43,48,90.57,0,0.0,0.889,"['tangina', 'primo tangina', 'tangina primo', 'tanginamo', 'tanginamo primo']","tangina, primo tangina, tangina primo, tanginamo, tanginamo primo"
18,53,POSITIVE,31,58.49,22,41.51,0,0.0,0.833,"['rewatch', 'watched', 'watch', 'times', 'rewatched']","rewatch, watched, watch, times, rewatched"
19,52,POSITIVE,34,65.38,18,34.62,0,0.0,0.865,"['film', 'primo', 'grabe', 'naging', 'kathniel']","film, primo, grabe, naging, kathniel"
20,45,NEGATIVE,12,26.67,33,73.33,0,0.0,0.803,"['tanga', 'tanga tanga', 'tangina', 'tangina primo', 'tang ina']","tanga, tanga tanga, tangina, tangina primo, tang ina"
21,41,NEGATIVE,16,39.02,25,60.98,0,0.0,0.843,"['like primo', 'guy', 'like george', 'date', 'george']","like primo, guy, like george, date, george"
22,40,NEGATIVE,9,22.5,31,77.5,0,0.0,0.863,"['js', 'mom', 'bruh', 'oo', 'binalikan']","js, mom, bruh, oo, binalikan"
23,34,NEGATIVE,3,8.82,31,91.18,0,0.0,0.847,"['passion', 'mapapakain', 'mapapakain passion', 'passion mapapakain', 'lintek passion']","passion, mapapakain, mapapakain passion, passion mapapakain, lintek passion"
24,32,POSITIVE,17,53.12,15,46.88,0,0.0,0.758,"['ended', 've better', 'didn', 'better didn', 'end']","ended, ve better, didn, better didn, end"
25,31,POSITIVE,31,100.0,0,0.0,0,0.0,0.962,"['love', 'idc', 'love film', 'love love', 'great']","love, idc, love film, love love, great"
26,30,POSITIVE,19,63.33,11,36.67,0,0.0,0.935,"['stars', 'stars kathryn', 'kathryn', 'kathryn acting', 'acting']","stars, stars kathryn, kathryn, kathryn acting, acting"
27,29,POSITIVE,18,62.07,11,37.93,0,0.0,0.91,"['stars', 'sakin', 'star', 'lng', 'binalikan']","stars, sakin, star, lng, binalikan"
28,29,NEGATIVE,8,27.59,21,72.41,0,0.0,0.83,"['taste', 'music', 'panget', 'vinyl', 'pangit']","taste, music, panget, vinyl, pangit"
29,29,POSITIVE,19,65.52,10,34.48,0,0.0,0.828,"['reason', 'reason stay', 'stay', 'stay reason', 'did reason']","reason, reason stay, stay, stay reason, did reason"
30,28,POSITIVE,15,53.57,13,46.43,0,0.0,0.839,"['daniel padilla', 'padilla', 'daniel', 'tangina daniel', 'tangina']","daniel padilla, padilla, daniel, tangina daniel, tangina"
31,25,NEGATIVE,6,24.0,19,76.0,0,0.0,0.877,"['sakit', 'ramdam', 'hurt', 'hurts', '10']","sakit, ramdam, hurt, hurts, 10"
32,25,NEGATIVE,6,24.0,19,76.0,0,0.0,0.816,"['left', 'boyfriend', 'highly', 'shouldve', 'bum']","left, boyfriend, highly, shouldve, bum"
33,24,POSITIVE,15,62.5,9,37.5,0,0.0,0.837,"['didn', 'end', 'ended', 'great film', 've']","didn, end, ended, great film, ve"
34,24,NEGATIVE,5,20.83,19,79.17,0,0.0,0.845,"['tanginang', 'opm', 'crush', 'sulat', 'ref']","tanginang, opm, crush, sulat, ref"
35,23,POSITIVE,14,60.87,9,39.13,0,0.0,0.758,"['dj', 'tanginamo', 'pakyu', 'tangina', 'parin']","dj, tanginamo, pakyu, tangina, parin"
36,23,NEGATIVE,0,0.0,23,100.0,0,0.0,0.921,"['primo tangina', 'tangina primo', 'tangina', 'primo', 'boy']","primo tangina, tangina primo, tangina, primo, boy"
37,22,NEGATIVE,1,4.55,21,95.45,0,0.0,0.845,"['flag', 'red flag', 'red', 'flag primo', 'primo']","flag, red flag, red, flag primo, primo"
