Username,Date,Title,Review Text,Rating
50fiftillidideeBrain,"May 1, 2024",✒ Time Must Start Again 🕰 °7.7° °VG ° 💯%🔍,"🕰Timing in life is everything; so the adage goes. In Hong Kong, time is G💰LD. As long as you move you'll live. Once you stop you'll starve. Over 200,000 Filipinos work in Hong Kong. It's most common to have a 2-yr domestic helper contract as Filipinos are not allowed to do anything else - unless they manage to become a citizen. Therefore, when Joy loses her job because her employers can no longer pay her, she takes an illegal waitressing job. The cops, inevitably, will come by to check IDs. When Joy sees them, she busts a move and runs. She ends up running right into the handsome bartender and 😙busts another move. She uses him as camouflage to hide from the po-po. Cops rarely bother a couple snogging in the alleyway, afterall. It's done so often in movies you might think that they would start checking, even if a duo is rounding first and headed for second, but it always seems to work.

The Filipino community in Hong Kong is small. Everyone is within 1° of separation, but it's large enough to support a Filipino radio station. (They have a nifty microeconomic system in place as well.) Joy thinks she got away scott-free only to wake up the next morning to a radio announcement about her! Ethan, the bartender, is looking for Joy so that she can return the kiss that she stole from him! Joy's friends go insane.

HLG is about what decent, but poor, people must do to survive: It is all about hard choices. It is also about the nature of love. Joy & Ethan. Ethan + Joy. She resists him, but she can't for long. The problem is that she's leaving. She's definitely leaving. She has a nursing degree that she can't use in Hong Kong. She's going to be a nurse in Canada. That's her dream, and n🅾thing's going to change her mind. N🅾t a thing/budkis/pist🅾🅾za/larkaflark/nuffink/jack squat/NATTY. Joy is no wimp. She has a will of iron. She warns Ethan to not get attached. Yet they allow themselves to fall in love. Every day they push the knife in a little deeper.

Their story is sweet and these protags are likable. He says he can handle it and he won't get in her way, but as that 🕰 approaches the pressure ratchets up. Because, 'when you love, it's all or nothing. If you hold back, then why love it all?' Ethan has a point. 'There are questions inside of me that only I can answer,' Joy insists. Joy has goals, a mission, and an ironclad agenda. She will not be swayed. Not now.

L💘VE. What does it look like? To Ethan it's: ""If you loved me enough you would stay."" ♻ To Joy it's: ""If you loved me enough you would want me to go."" Later, Joy asks the universe: ""When a woman gives too much of herself, she's stupid, but when she prioritizes herself, she's bad. Where do we need to place ourselves? Is love only expressed through sacrifice?"" Why so often, indeed, does every option, for women especially, seem irreconcilable? Love can teeter from selfish to selfless. Perhaps love always starts down in the selfish zone, but the more we sincerely love someone, the more selfless we should become. Leaving the shallow end and diving down deeper should elevate our love higher. If not, we must question how much in 💓 we are or how selfish we actually are. A young person should never be expected to throw away h/h future for a relationship, particularly a relatively new one. Talk about creating a debt for regret - No sane person would endorse that. Joy agonizes over this unexpected timeout from the race she's been running. Either option is valid. Her choice is hers alone. HLG tells young girls that their personal development and future is every bit as important as love.

Befitting a modest budget, most of the filming is on the street or in contained spaces. There's a couple of wow shots. They take a day off to go up into the mountains. On a cliff looking down on the city, the buildings are uniformly white. While they look like bad dental work there's also an ethereal beauty to the vista. The effect is otherworldly.

HLG is a 118 minute, 2019 release that is rated 8.2 on MDL. Overall, this is a well put together production. The writing, directing and acting all blend to make a great product with few flaws. This is a 🇵🇭Filipino production and I am looking forward to seeing more of their works. I've seen 2 🇭🇰Hong Kong productions, The Defected-8.2 and Hong Kong West Side Stories(7.5). Both of them are good but also dark, edgy, sad, and a display of the worst elements of humanity. The group that is the most downtrodden in Hong Kong seems to have a brighter outlook. Between the 3 productions, one wouldn't think it's the same place. HLG is well worth the time to get a peek at life in Hong Kong from the view of the hard working, overlooked Filipino community. We🇺🇲 have alot to be thankful for.

QUOTE📢

Choice is only for the rich.

〰🖍 IMHO

📣78 📝72 🎭79 💓70 🦋67 🌞71 🎨70 ⚡30 🎵/🔊78 😅23 😭47 😱30 😯49 😖20 🤔45 💤0 🔚70

Age 12+ Adult situations kissing - mild. Rated PG: Parental Guidance Suggested

Re-📺? Not opposed.",7
mj-oralde,"Aug 11, 2019",best filipino love story movie,This movie is almost 90% accurate when it comes to portraying ofw life in china. acting is very good and I never expected that kath and alden would have a good chemistry.,10
eldonjohn-42265,"Feb 17, 2020",not good not bad,"Another Kathryn same ol' tone of character film! I wish that her writers and directors would gave her something different worthy of famas or urian award, she deserves it, it was just the material that always failed her.

The story could have been very good to tell, but it was the storytelling that seems to be ordinary and safe... it could have been pushed a little bit more.

but at the end of the day, it makes you feel something and that is what Filipino films are good at",5
cjeanjocson,"Aug 3, 2019",Superb acting and story,"Kathryn and Alden gave justice to their characters. You'll forget that these are actors just portraing roles because they portrayed their characters so well! The chemistry between these two is overflowing! These movie is not just a love story, it's a life story. It tells you the life of Overseas Filipino Worker abroad, the struggle that they have to go through to achieve their goals for themselves and thier family.",10
aysarmiento,"Aug 4, 2019","Hello, Love, Goodbye",Unexpected chemistry of Kathryn Bernardo and Alden Richards. They successfully portrayed their characters. The plot of the story is great and we want more! Great job Team HLG! Part2 please!!!,10
rhajeanyahmini,"Nov 2, 2019",Nice.,"Pretty great. Finally, no cheesy cliché Filipino romance in here. It's a great start for hollywood-esque films 😁👍 It even has lessons like remember to care for your family and how to love someone purely. How much OFWs work hard just to provide for their family and how other people should appreciate that. The best one is 'I love you but this time, I love myself more.' :)",9
karlkennethwatson,"Aug 2, 2019",What the world needs,"Real emotion, it gives you a glimpse of what its like to be an ofw worker, more so being a domestic helper.

Teaching one that inorder for you to love others, you need to love yourself first. You need to choose your own happiness",10
wilfredlucas,"Aug 18, 2019","Alden Richards' character, Ethan, is pushy, creepy and problematic.","Ethan will continue sending friend requests even if Joy declined several times already. He will make the radio station talk about Joy in public without her permission. He will use another phone to text Joy anonymously. He will act like a police even if Joy is weeping out of fear. He will squeeze through inside a small room knowing that Joy will be uncomfortable. He will continually send ""Need a friend today?"" text messages even if Joy has rejected it so many times. I don't know how a Filipino girl reacts to such moves, but if people consider this as ""nakakakilig,"" there's a problem.

'Hello, Love, Goodbye' is at its best when it tells the story of Kathryn Bernardo's character, Joy. In some ways, the film manages to outdo similar mainstream Filipino romance films because of Kathryn Bernardo's stunning performance and the earnest depiction of OFWs. Bernardo, whose acting holds the film together when it was falling apart, effectively evokes a palpable sense of weariness, discontent, and eagerness to alleviate Joy's situation. Actually, I can do without the 'La La Land' love story if the social commentary was strengthened and expounded more. In a similar vein with 'Sunday Beauty Queen,' the film resonates with Filipinos because of its sensible portrayal of what it is like to work abroad in a job you are overqualified in.

But Cathy Garcia-Molina's picture falls apart as the annoying, melodramatic score continues to play in the background, tackier drone shots are added, and more forced, ""hugot"" dialogues are delivered by the leads. Sure, this is how cliché-ridden mainstream Filipino romance plays out. But how I wish we get movies that transcend this generic romantic stratagem. 'Hello, Love, Goodbye' fails to offer something new to romance movies as an art form, which is disappointing since the OFW story and Joy's arc have so much potential.",3
lmtabanao,"Aug 3, 2019",BEST OF 2019,"This is by far the first movie of Alden Richards that I watched. At first, it was just an attempt to like the tandem of Kath and Alden but it turned out to be an affirmation of their chemistry. I was moved and even shed some tears even in scenes where not much is expected. Simple conversations that will make you fall into tears. Very touching movie. It's actually about Love in general and that includes Love of Family.",10
chan-charlene11,"Aug 4, 2019",It was the most best movie of Alden and Kathryn i ever watched,This not just a love story..it was more than a love story.. its story of dreams that we need to see how far we can go and nothing can stop us even love. And i salute all Filipinos who works hard and conquered other countries for their families. WE ABSOLUTELY NEED A SECOND PART IN THIS ONE. I don't really into in Filipino movies it was my first local movie i watched in 2019.,9
jeuzeah,"Aug 3, 2019",Much Love,"I would love to watch this over and over again. i Love the film all in general. i was so speechless, so please help your self to witness this Movie. it's not your typical love story but it was a real life of an ofw that working hard.",10
lessliegozum,"Aug 3, 2019",Not your ordinary love story. A story highlighting selfless love and sacrifice,"Breathe of freshness on screen, we've been served with a platter of good offering, AR's gentleman antics and KB's toughness and complexity complements each other's character just right, a movie that highlights the life,pain and sufferings of filipino working abroad especially Hongkong an eye opener about the common misconceptions about the life of our modern day heroes the brave ofws. Another masterpiece from direct Cathy Garcia Molina for mixing out the reality of life abroad, stories of risk-takers the dreamers sacrifice & selfless love.",10
gulagulabla,"Aug 24, 2019",The Story Has Potential - The Film Failed to Deliver,"As far as the film's story goes, it has so much potential. It depicts a few of the many instances of what OFWs experience while working abroad. But the way Cathy Garcia-Molina presented the story was too mediocre.

Their choice to cast Alden and Kathryn was bad. There isn't any chemistry between them. The chemistry happened between the viewers and Alden/Kathryn, but not between the characters themselves.

Alden's character was unrefined. His acting was subpar. His smile is problematic. Instead of conveying something that relates to being hurt or having a struggle, it becomes out of place and sometimes creepy.

The camera shots were out of place. It felt like the production team were trying to show off their drone shots even when it would have been better to just use a simple wide shot. Close-ups were not utilized properly.

The script contained the typical ""hugot"" lines. At the same time, the film contained at least 30 minutes of pure exposition. It became a film of telling rather than showing.

I haven't talked about the problems with the other casts. But overall, the film was purely a waste of time. I would have felt better if I just watched the film ""Anak"" with the other OFWs in one of the film's scenes.",1
dazzylila,"Oct 27, 2019",Unexpectedly Real!,"Oh they went deeeeeppp.

This isnt just one of those sappy romance stories, no, it covers real-life topics (i assume) about Filipinos foreign workers, immigration etc. I gotta admit that i never really think twice about these things but this movie makes me feel the pain! We just gotta be grateful of choices we have in life - some people have it harder.

Now, Kathryn (Joy) is such an amazing actress! I can almost relate to everything shes going through in the movie. And oh, prepare tissues cause youre gonna need em.

P/s: Low-key Hong Kong Tourism ad done right. lol",10
shimokitamom,"Aug 14, 2019",A Movie With A Heart,"Hello Goodbye Love. What a beautifully made movie, what a wonderful message for the millennials. Great story by Ms. Carmi Raymundo, great directing by Cathy Garcia-Molina, great acting by both main actors, Ms. Kathryn Bernardo and Mr. Alden Richards as well as the supporting actors. The movie focuses on the life of Joy, a Filipino nurse-graduate who works instead as a DH (Domestic Helper) in Hong Kong. The crux of the film shows how OFWs (Overseas Filipino Worker) live in other countries. For me, the love story between the characters was secondary but it was the right touch to bind things together. Kathryn is most beautiful bare-faced and delivers a great performance. A must-see movie. 10/10",10
jammic-89563,"Aug 18, 2019",A Filipino movie that you should watch,This is by far the best Filipino movie of 2019. And one of the best of all time. There's no waste or boring moment. This movie sets the new benchmark for Filipino movie. A must watch and highly recommended. 👍,10
jhaypeesantiago,"Aug 16, 2019","It's Unique by itself, Highly recommended! A must watch film!","It's Unique by itself, Highly recommended! A must watch film! Alden (Ethan) and Kathryn (Joy) brings spice to a good story! I can tell that its a masterpiece! Love the Movie!

PS. Part 2 please",10
Tris101,"Sep 18, 2019",Boring,"The movie is a bit boring, a let-down. Too many scenes with nothing happening and boring dialogue. Ain't diggin this shiz.",2
readyplayergaming,"Jan 22, 2021","Worth-watching, good story","Not a fan of the 2 lead actors, but I can say that they did a good job portraying the characters in this movie. Cinematography is good! The 2 leads have chemistry despite them not being paired at all before. However, they sound a bit awkward when delivering lines in english language. The story, most especially the ending part, makes it worth-watching. Good overall and probably the best Filipino movie among the others during that time, however, it is similar to the other mainstream Filipino movies. It would be better if the movie would be made subtle the way indie movies do.",9
anne-81576,"Dec 27, 2020",Please do the part 2,Falling in love with the whole story and the actor. Mixed feelings but i need the second please do the part 2 please don't stop making great story like this.,10
kathkathcruise,"Sep 9, 2019",A Must Watch Movie!,"I highly recommend this movie to everyone. This is not your ordinary rom-com movie that will just give you smile and love. This is a realistic movie where you'll see the life of a Filipino OFW in Hongkong- the sacrifices and dreams for the family. But love will always come at the least expected time. Kathryn Bernardo- never failed me to amaze on her acting skills. She always devote herself into the character and put amazing life onto it. I must say that I'm a fan. Alden Richards on the other hand surprises me on his hotness throughout the whole movie. These two characters made my heart cry and leaving me to re-watch again the movie. That feeling you have when you finish an amazing movie that you don't want it to end. Director Cathy is a genius on her craft. She knows how to perfectly put drama, romance and comedy into a single movie! Everyone must watch this movie! This movie will teach or remind us to- love yourself, love your family, follow your dreams, live your life to the fullest until you have time, true love will set you free, and the list goes on!",10
jtk-75-248152,"Aug 4, 2019",HONEST REVIEW: Nothing special about the movie's plot except the best performance from Kathryn and Alden,"Maybe because I couldn't relate to the movie. But Kathryn and Alden was so great they make the ordinary story extraordinary! And don't forget the kilig factor Alden brought up on some scenes. Overall, not a waste of money.",8
og-klippz,"Aug 18, 2019",HONEST Review. Why 5?,"Lets start with how great Kathryn's acting is. As expected from her The Hows of Us piece. Alden did OK. Wasn't expecting much but it was a solid performance. However his acting reminds me of John Lloyd. And if you act like someone else's then you should give justice to it or do better. But in this movie it's neither. Then again a solid one. Now, the lines. They are trying to squeeze the ""hugots"" absolutely anywhere they want in the film. And it's absolutely out of timing! The lines are so bad that I can say I can write that. Yeah its that bad. The songs doesnt go well with the scenes which completely ruined the greatness of the song. They could have done it better. Cinematography is so bad, its like you're watching a TV series. Go watch it again, you'll see the same style of focus and switch to subject over and over again. There are many scenes that could've shot with them both in the frame to show their emotions at the same time. It was like Action! And Cut! Next line! The style of shots just changed in about 10-15mins remaining in the film. It looked like they realized it and hired someone else. And my 11 yr old daughter even agreed how bad the shots are. Compare this with Tadhana, 100 na Tula, Kita Kita, The Day After Valentines, Never Not Love You, and #WalangForever. If you havent seen these, go watch them and thank me later. 5 is because of Kathryn.",5
yeheyyeehah,"Sep 13, 2019",Wow!!! Just wow!!!,"In what may be Cathy Garcia Molina's best movie to date, this movie overcomes the banal and stereotypical nuances pinoy romcoms are known for. In fact the apparent filipino diaspora is the true backdrop of this movie. The dissolution of every OFW workers success or possible demise. The ensuing love story merely serves as extravagance but will eventually turn complimentary to the already palatable storyline of Kathryn Bernardo's plight as a struggling domestic helper torn between the choice of staying in Hongkong to be with the man she loves (Alden Richards) and fulfilling her destiny to be a succesful nurse in Canada. Both characters are vibrant and played to a T by the two lead actors. Not really a fan of Alden Richards, one may surmise that he was directed exceptionally well for this or was incidentally a victim of writing mediocrity in previous films. But that stockroom scene is just plain fun and genius. The chemistry between the two characters made apparent by screams of excitement from my neighboring seat as the pair locked eyes for the first time. Forget about the common adequacy pinoy films are usually associated with. We may suck in action and sci-fi movies but we can definitely make quality films in other genres. Like this one. Baduy na kung baduy, but this is a movie you should watch. Again, this is not a paid ad. Lol!",8
ashrappp,"Aug 29, 2019",Nice love story with great story lines,My first time watching filipina romantic love story & the storyline was pretty engaging. It keeps you watching all the way. Great acting and scenes as well,10
annemichellecandelaria,"Aug 22, 2019",Great movie,"Great acting skills of Alden, warms the heart despite struggles working abroad",9
ceresscarlet,"Aug 22, 2019","It's not hollywood, but for a pinoy style movie , this is ver good!","After watching the movie, i just have love everything about it : the feeling of missing the characters after the movie ended . Here's my thought: 1. Goodvibes, inside the cinema, it is so nice to hear people having mixed emotions throughout the entire movie, nakakakilig, nakakatawa, nakakaiyak . It's not heavy , just simple. 2. Kathryn's voice is just perfect for her role. She has a straight face but she managed to give expressions that justifies every line she says, thru her eyes. You will love her more in this movie. 3. Alden has an expressive face, can portray a sad eyes and happy smile at the same time. With that expressive face, I was amazed that he made me smile and laugh with those supposedly cheesy lines of the script. I did not expect that he is this good. He actually can shift from happy to sad to serious without you noticing the transition. Plus he is so manly and handsome. Many women inside the cinema were so 'kilig' everytime his face shows up especially upclose. 3. The supporting cast will give you a break to the story of joy and ethan, they are very funny! I meant, just their presence adds excitement. They are the ones who completed the movie. 4. Good choice of names of the lead actors. Joy is a name that is nice to hear from Alden's voice. Ethan could be alden's alternative name in real life, it suits him well . And Mary dale is maymay's real name, very filipino and youthful name for her character. 5. Great chemistry, Ethan's arms looks so comfy everytime he hugs Joy. When they look at each other in the eyes, it's genuine. Alden's bubbly voice and Joy's serious voice are blending nicely that is why just them sitting and talking brings ""kilig"". 5. You can see hongkong itself, even in just a glimpse you can see the unity of filipinos. Being an ofw is hard but having to see a community of filipino around you brings comfort and home. 6. Some parts are like music videos, maybe because the music is so good to hear in those hongkong buildings in the background. 7. Direk cathy is really exeptional. She will bring out the best in all actors. She choses the best on everything. 7. The movie itself tells different stories in just 2 hours. All stories are true to life, but hopeful . All stories are aspiring to have a better life and chasing happiness. In order to chase happiness, you should make sacrifices, but making sacrifices is not sad at all . It is a challenge and part if the process. The whole movie is not korean or hollywood, but filipino. Like any other movies, it is not perfect. There is always room for improvement. But that improvement, we should make movies more like filipino style. It is very simple actually but filipinos are loving it because it is very light, its for family bonding. You wont feel awkward watching it with your grandparents. I gave it 10 over 10 because i cant get over it.",10
shalalahappy,"Oct 30, 2019",It's an ok film,"Story - It's Good but there is some strained scene just to make the story long/extend.

Actor - Ethan (Alden Richards) He's acting skills is Amendable there's some blunt moments in his facial acts.

Actress - Joy (Kathryn Bernardo) no doubt a great actress.

Cinematography - great Beautifulyl shot.",1
racellesilang,"Sep 8, 2019","Great Movie, Not your typical Filipino RomCom!",Love this movie very much. Gave me different kinds of emotions.,9
shng-77912,"Aug 17, 2019",Very worth it!,"A story about everything that's happening in real life. From sacrifices, responsibilities, self-love and relationships.

Not a fan of Tagalog movies, watched this upon recommendations from friends. Truly worth every penny. Great Job Kathryn and Alden. 👏",10
hernander,"Feb 9, 2021",Great movie,"One of my fav movie, I love the cast, the plot, I love everything.",10
suicidesydd,"Apr 28, 2021",Had that Before sunrise vibe,"Watched this the other night on netflix, after being in my list for a while. And boy it was good, it starts a bit chaotic but once you're in ,then you're in.

All characters where good, and the chemistry between. Joy and Ethan was very convincing. It is a romantic movie of course, but with a message.

Like i said in my title, it had - for me- that Before Sunrise feel. And since that's my favorite movie of all time, that's a compliment..",9
arveeframirez,"Aug 27, 2019",10/10 for a Filipino film,This is one of the best filipino films i have watched.,10
marlonllorendaro,"Dec 15, 2021",Worth watching pinoy movie,The movie depicts the reality of life being OFW's their struggles dramas and obstacles make the love chemistry of the couple--protagonists worth fighting for each other. Its theme is deep and so heart-touching.,10
