review_id,document,topic
30,"random rewatch di ko rin lam baket can i ask for another ballot i messed up i shaded two presidents obob we don't know what to do, actually you can't run to the police, it's the police that's doing it fuck the police thru and thru kahit kamaganak pa kita since duterte cannot govern democratically, he has to create an enemy to justify the use of force garapon ka nang uuwi sa pinas pakyu",0
33,tangina talaga,1
34,"but i cant shake the feeling that if we rely solely on films to revive fear of past atrocities, the effect may actually backfire throwing all the past horrors...",0
35,"never again, never forget",6
36,no sympathy should be given to political dynasties that have only contributed to the pain and suffering of our people i will not have another marcos and duterte who will make our country a polarizing laughing stock sana mali kami,0
37,file under crime,0
38,classic cancer behavior,-1
39,napaghahalataang mukhang pera si tanga martial law,1
41,"nov 2025 edit changed my rating to lower it a political documentary like this cannot be viewed superficially regardless how good the production value is, we shouldn't give platform to the marcoses for them to tell more lies to our faces additionally, it doesn't sit well with me how foreigners seem to feature one of the darkest moments in our country's history as just another interesting subject for a documentary especially when this was shot and released during the marcoses' return to power they stole from the country, and tortured and killed thousands of people",0
45,"it deeply frustrates me that people arent as angry as they ought to be towards the marcos family literal piles of documents and other forms of evidence, yet nothing has been done its even worse when people say phrases such as god will judge the marcoses when their time comes why cant we enact justice while they are still around but i feel that this documentary was hesitant in really digging into the nasty details",0
48,it makes me sad knowing that the country is literally repeating history because people haven't learned from the mistakes of the past because it isn't taught and propaganda is powerful it also makes me sad to see the parallels between the us and the philippines in this regard like we know that already but yeah it's just gross this was filmed before bongbong became president and it warns us that it's coming and it's frustrating and infuriating but she's an abusive mother she doesn't care about the needs of her children it's disgusting to think about the wealth disparity and the pain that some of these people have brought on the country,0
50,"perception is real, the truth is noti watched this documentary way back on december 25, 2022the same year when ferdinand marcos jr every word that comes out of this womans mouth is either a lie, arrogance, delusion, or fabrication its ironic that they gave her the benefit of the doubt, but it turns out to be a reason for us to hate her even more as the saying goes, you can catch a fish by its mouthand in this case, her words alone expose how filthy, hideous, and wicked she is shes delusional youre not motheringimelda, youre manipulating that picasso painting cameo it would send you to a coma just imagine how much money they stole, all because she wanted her life to be imeldefic",0
52,feeling mother putanginamo imelda,1
60,unfortunately the media is more powerful than the gun,0
62,sabi nya sila nagrun sa politics para dumami pera lol,1
63,i get pissed off every time i have to rewatch ts and see their faces,0
64,baleng sapakin pagmumukha ng mga marcos,1
65,the google rabbit hole i entered after watching this was brutal,0
68,paawa effect,1
69,"tuta, diktador, pasista",1
70,kupal marcos,1
71,"ang basura, kahit bihisan mo ng ginto, basura pa rin tangina mo imelda tangina ng buong pamilya mo may araw din kayo",1
72,pa'no n'yo sila napapayag na gawin 'tong docu na to,1
74,this shit is crazy,0
75,people who forget the mistakes of the past are condemned to repeat them marcos duterte walang pinag iba,0
76,tangina niyo neveragain neverforget,1
77,ikulong na yan mga kurakot,1
78,"was interested in physics, math, and biology, but my grandfather told him, theres no money in that switch to politics instead these lines, coming straight from their fucking mouths, make my blood boil ang kakapal ng mga mukha they never wanted to serve the people they shouldve been killed but as painful as it is to admit, the real enemy of the filipino people is often their fellow filipinos we keep electing the same shameless, thieving animals who plunder the nations coffers without remorse we never learn its the same cycle, over and over again we should never have been kind to the marcoses, because they were never kind to the filipino people",0
81,i cant believe i actually know people who still shamelessly support these out of touch fuckers,2
83,dumbass shaded two presidents in the ballot,0
84,"perception is real and the truth is not, words from a woman who was essentially the face of the darkest moments in filipino history in recent months, the philippines has been marred by controversies involving ghost projects and corrupt officials yet, after speaking with many people about this matter, one question always prevails how how did the corruption, plunder, and blatant theft from the filipino people become so severe upon watching this, the answer became clear as day it is because we allowed those who started the problem to get away with it the marcoses became the blueprint of philippine corruption today to fix this issue, we must first hold accountable those who began it in the first place democracy no longer truly exists in the philippines, for it has long been the government against the people ever since the marcoses were allowed back into the political landscape forgetting the past horrors, terrors, and sins has only allowed history to repeat itself a nation cannot be built in a day, and solutions to systemic issues will never materialize in just a few years",0
85,ube ube ube,1
87,"she's surely one of the most abhorrent, hypocritical and amoral scumbags of recent political history, and here she is, freely talking lying to camera and exposing herself in all her greed and hypocrisy",0
89,"los poderosos solo quieren mas poder pinchi vieja los cambios los hacemos nosotros, somos lideres de nuestras propias decisiones, no las decisiones de los intereses de unos pocos lo bueno es que todos mueren",0
90,"seriously, who does this woman think she is putangina sana mapulbos n ang mga marcos sa mundo",0
91,we should've never have let them leave the country never again,-1
92,it's not as if doing so would resolve any of her faults,0
93,the marcos are despicable,2
95,kuhang kuha inis ko tangina,1
97,tanginamo imelda,1
98,"im just full of pain and anger when will filipino suffering ever end but i cant stop thinking about how we really failed maam leni in the 2022 elections putangina ng mga marcoses, dutertes, at sa lahat ng mga politicians na walang ginawa kundi mangyurak ng kapwa nila pilipino hindi kayo tao ni katiting na karapatan para mabuhay, hindi sainyo nararapat",0
102,punyeta delusyonada,0
103,first of the month tas required viewing pa retiredcinephile,0
104,"shes so crazy, delusional, and fierce like thats mother",0
106,real horror story,0
108,wild character study,0
109,"theyre really trying hard to change the history lmaokung bbm apologist ka at ang buong angkan mo, bakit di ko kasi talaga gets",1
113,imelda marcos is such a narcissist that nearly every scene shes in just reads like satire,0
115,we should never give that horrible woman a platform to spout her lies we shouldve never let that family back in oh im so mad,0
117,fck the narcoses,1
119,why do we even let her open her mouth,0
122,coming across the trailer for this movie on yt randomly was the start of my hatred for anything marcos related,0
123,so everybody just be electing incompetent people nowadays,0
124,i was always criticized for being excessive absolutely insane reader my jaw fell to the floor,0
125,tangina niyo marcos,1
127,fuck the marcoses,2
129,"haist, pilipinas",1
130,makawindang sa ka daghang assets,1
131,fuck the marcoses,2
132,you suffer,0
137,"ilan sa mga thoughts ko while watching 1 she demanded to look more beautiful daw kasi naniniwala siya na the poor always look for a star in the dark of the night whatt the perception is real, the truth is not whatt kaya niyang magpaalis ng mga tao sa isang isla kung gusto niya after kong panoorin' to, iba na tingin ko sa san juanico bridge totoong mapagpatawad ang mga pilipino, kaya hanggang ngayon may kapangyarihan sila neveragain neverforget",1
139,what lino brocka said,1
144,"sana taasan naman ng mga pilipino ang tingin nila sa sarili nila bilang mamamayan at tao ng bayan sana mapagtanto nila na ang dignidad ay pinapahalagahan, hindi binabalewala para naman umangat tayo at tuluyang umunlad kailan ba tayo gigising",1
148,fuck marcos,4
149,"may the marcoses and dutertes rot in jail and eternal hell repeat, may the marcoses and dutertes rot in jail and eternal hell marcos, duterte, walang pinag iba parehong tuta, diktador, pasista",1
150,"narrator and just like that, the hhhwhite woman lost all credibility",0
151,fuck marcoses,4
152,generational corruption an hour and 40 minutes aint enough to tell this womans delusional corruption career,0
153,"there are so many things in the past that we should forget in fact, it's no longer there",0
154,nostalgia is a powerful lie,3
155,the marcos family is a plague it was insane to me how quick a nation is to forgive and forget was this a curse on the forever entrapped philippines it didn't make sense to me how a choice so black and white as fucking ferdinand marcos vs leni robredo how had the manufactured nostalgia been so quickly adopted as fact,0
158,never again,5
159,thats a whole new level of cruelty,0
161,these guys is evil,2
163,"on the other hand, was it necessary to screen this in the middle of a then impending now real marcos jr it does not help that imelda is centered in this narrative i respect the director's focus on cinematic monographs, but at the end of the election cycle that decided a marcos presidency, we got the answer to the ethical dilemma no, this film did not move the needle towards the downfall of the marcos family like we hoped it would",0
164,societal collective memory is at an all time low and it's making everything terrible,0
165,everything she says is batshit insane,0
168,bat pa kasi pinabalik mga putanginang to,1
170,"its so infuriating and disgusting marcoses or dutertes both are evil and whats worse is with their corruptive power, filipinos keeps on choosing to ride with their faux trademarks, making everyone irredeemable just like the rest of them",0
171,why are we giving the embodiment of delusion and ignorance a platform to spread lies instead i would've preferred more screen time to be given to the victims under the marcos rule,0
174,why do we even let imelda open her mouth we dont raid the malacanan palace enough as a country,0
175,putangina talaga ng mga marcos,1
177,at first i fell for imeldas mask and words but even then it felt weird and out of touch,0
182,walang ginawa si imelda dito sa dokyumentaryo na ito kung 'di maglabas ng kasinungalingan wala siyang binanggit na pagkakamali tang ina mo imelda tangina niyo mga marcoses,1
185,the astounding amount of wealth so few hold in this world is ridiculous,0
187,those who do not learn history are doomed to repeat it,0
188,"people who forget the mistakes of the past are condemned to repeat them stated by the late former president noynoy aquino as much as i hate to say, we cannot say never again anymore",0
189,"rewatching this documentary on the people power revolution anniversary felt sickening the news that bongbong marcos removed edsa revolution from the list of holidays is ridiculous similarly, during duterte's presidency, my family was misled by what they saw in the media we didn't see the terrible impact to the familiesall those killings without investigations",0
190,never again,5
191,high maintenance manipulative narcissistic gf and nonchalant fascist cheating bf,0
193,it is hard to reconcile her vision of herself as a nurturing matriarch with the devastation left behind after years of dictatorial governance what a shame,0
194,"i dont have an answer for why we allow imelda to even open her mouth putangina ng mga marcos putangina nilang lahat wala nalang pinag ibaparehong tuta, mga diktador, mga pasista nararapat lamang na buwagin sila, putangina never again never fucking forgive",0
195,putangina mas lumabas ulit galit ko sa mundo,1
196,"pasistang rehimen, buwagin",1
197,putangina ng mga marcoses putangina ng mga duterte maging matalino na sana tayo sa pagboto,1
198,"chinga tu madre imelda 3 vecesque desesperacion ver esta pelicula de una infamia de mujer que solo ha hecho dano ella y su familia a un pais, que lavado de cerebro, y pobre filipinas, creo que el documental o filme, fue tan certero en muchas cosas, creo que ha sido de lo mejorcito en cuanto critica a figuras importantes, no dejan nada de dudas, solo una molestia de ver como la gente tambien no aprende de sus errores",0
199,"jeg glder mig til den dag tyran laver en episode om marcos familien, fordi jeg fler, at de vil fortlle historien langt bedre end denne dokumentar gjorde",0
200,"portrait of one of the most irresponsible politicians you can imagine freedom of the press was abolished and all opposition was nipped in the bud the couple enriched themselves privately from the tax revenue and have been declared as secondary corrupt government by transparency international at the time the 250 families who lived there were simply expelled this park still existed in 2019, but has now become quite run down due to a lack of funding",0
201,bong bong 2016,1
202,"hindi manlang nila mapagtanto na ang kanilang mga sariling salita ay inilalahad na kung gaano sila kamatapobre pinaglalantaran pa nila na sila ay ganap na mga elitista walang bahid ng pagsisisi para sa nakaraan silang pinapakita past is past ayon nga kay imelda the absolute nerve and audacity of this woman to say these words and everything else that she has said are not just wrong but also criminal freedom of speech does not apply to this woman instead, the opportunity to make their voices heard should be given to the victims of martial law bulag at takip tenga na ang karamihan sa mga pilipino nakakalungkot at nakakadismaya nakakalungkot na pinagsasamantalahan yung mga mahihirap at hindi edukado nating mamamayan para lamang sa pampulitikang pakinabang sa huli, sila rin ang nagdudusa dahil mismo sa mga taong pinagkatiwalaan nila matuto na tayo",1
203,is this real,3
206,imelda can rot why r we even giving dictators their associates a platform,0
207,when you lose your money um i mean mommy,-1
209,"perception is real, and the truth is not in fact, it's no longer there while i am against giving out of touch, manipulative liars platforms, there is something extra damning about hearing imelda marcos' version of events directly from her addled memory but then she slips up on her words and the truth comes out she says when you lose your money they stole billions of dollars of the country's wealth from the people, and then she goes around acting sad that parts of the country are so poor now, as if she weren't directly responsible for it",0
213,this is so tragic,0
217,"i got in a big fight with lauren greenfield about her book, i was a retarded, obnoxious teen",0
219,marcos duterte walang pinag iba,1
220,the western perception of haha funny shoe lady is much more gross when you clock the shoe lady is an actual ghoul,0
221,"tangina, nagkatotoo nga",1
223,perception is real truth is not,3
225,sobrang condescending at pretentious ni emelda oh my gosh try not to say tanginang to challenge,1
227,"hoy imelda, di pa ba sapat yang botox mo sa mukha",1
228,infuriating like everything i watch read about politics from anywhere in the world really,0
229,"in fact, it's no longer there",0
230,ang isda ay sa bibig nahuhuli i can't come home in coach it's just too embarrassing marami pang iba pero these are the more notable lines na talagang nakakapagpataas kilay,1
231,si que estan jodidos en filipinas,0
233,yung tipong di ka na nabibigla,1
235,pissed me tf off,-1
236,tangina talaga,1
237,"mapapasigaw ka na lang talaga ng marcos duterte, walang pinag iba, parehas tuta, diktador, pasista",1
240,"what saddens me more is when this documentary was filmed, bbm was merely a presidential aspirant the 2022 elections felt like a fever dream, marked by a disorienting mix of nostalgia and revisionism",0
243,the fuck is maid in malacanang all about people should watch this documentary instead,0
244,fuck the marcos clan,2
245,i cant believe this actually i cant believe this is real and still happening,3
246,  1403 07 28,1
247,", and more self pity than i've ever seen from someone who literally stole a countrys future maybe the shoes were the real victims all along",0
251,nagagalit nanaman ako,1
252,i don't have an answer for why we allow imelda to even open her mouth,0
253,pinanood ko ulit dahil sa socio 11 hirap mo mahalin pilipinas,1
254,my face just goes like,0
256,never again to martial law,-1
258,burn those fucking rich,2
259,a look at a web of lies,3
260,her deep obsession with mothering and deluding herself with all sorts of false narratives especially about the...,0
262,it's worse that we fall for it,-1
264,pukingina ilang taon na nakalipas pero nabibilog pa rin ng mga marcos ulo ng mga pilipino kailan ba tayo uunlad,1
265,made me absolutely furious,0
269,why do we even let her open her mouth para sa huling pagsusulit sa kasaysayan 1,0
274,man theres so much to say but let me keep this short never again fuck the marcos family,2
275,ang poki ko na kulay rosas namumukadkad 'pag hinimas himas at ang mga bubuyog,1
276,the fact imelda marcos has never faced consequences for her actions and her son was allowed to become president is ridiculous,0
277,as fucking annoying as a very good girl with the 'mothering' sick of her im just a girl schtick bitch you destroyed the country and generations to come just die alreadyyyyyyi hope anyone who watches this has any sort of media literacy because whatever tar she spits out of her mouth shouldn't be sympathized,0
280,an extremely upsetting look at a political dynasty and the way history can be rewritten and twisted right in front of you,0
283,what a fat l,1
284,"its sad that the one piece of media about the atrocities of the marcoses that has probably had the most eyes on it had to be made by a foreigner but does this override the depiction of her as a bumbling and clueless matriarch surely the mountains of crimes she has been complicit in, families destroyed, and lives lost should not get to be overshadowed by her lies and corruption, as it has for many decades the film tries to balance this out by intercutting her false narrative with testimonies from activists and politicians, but in my opinion, its not enough",0
285,this needs to be shown in schools,-1
286,it's not okay for them to flaunt what they stole,0
288,"but how can you do that with imelda marcos i found it difficult to watch hearing the testimonies of anti marcos activists was devastating as if greenfield is wagging her finger saying, don't do what the filipinos did the propaganda and historical revisionism",0
290,jaw dropping,0
291,"fuck the marcoses, fuck the dutertes",2
294,fucking hate u imelda,4
295,the filipino people are too kind,0
296,daaaamn she's craaaazy,0
297,fuck u imelda,4
303,humanity is over,0
306,"when you lose your money, uh your mother your mother, you lose everything perception is real, the truth is not",-1
307,"perception is real, the truth is not imelda said it herself how one is viewed is the truth and not the truth itself",3
308,tangina niyo talaga mga marcos,1
309,sa sobrang invested ko rito ginawan ko ng thesis,1
311,putangina nyo marcos,1
313,she claims that she feels bad for the struggling and poor pero siya naman ang dahilan ganyan na ngayon yung pilipinas,0
314,"watching this while eating dinner was not the best choice hoping for better days to come, whenever that may arrive never again",0
315,es totalmente bizarro todo lo que ella y su esposo hicieron con lo que dice en el documental la unica con sentido comun es la activista que dice ni siquiera se porque en filipinas le permiten abrir la boca a imelda todo esto parece chiste pero tambien es serio sin duda puedo ver similitudes con mexico pero aun mas descarado que en mexico jajajaja el documental no se si fue a favor o encontra pero si te deja pensando,0
316,"the documentary was stomach churning and laughable to say the least the irony of the documentary lies in featuring only the truth yet, one can only realize the irony of it all if you refuse to believe in the lies marcos feeds filipinos",0
320,the amount of times i almost physically threw stuff at the tv,0
325,never again,5
329,the scene where imelda picked up the picture frame and the others shattered to no reaction had me weak,0
331,"with history forgotten, we are doomed to repeat it",0
332,these are two political dynasties and the aquinos should have equal criticism,0
333,"but i dont think it was necessary to give so much screen time to such an evil woman shes so delusional its actually laughable i did not know much about their lives before this movie, and now i have no interest in knowing more about these disgusting human beings",0
334,the entire time i kept thinking why the fuck did she agree to do this and then it hit me that she agreed because she thinks her version of history is the truth but what are her words compared to facts,0
336,"i wonder where she got the money to buy thousands of shoes, setting off some to further question the source of those funds",0
337,they should've pressed harder,0
339,some of my countrymen are deplorable and irredeemable i hate it here,0
340,define imeldific,1
341,watching it now is just,0
343,bwiseeeeettttttt fangit po ng mc,1
344,shocked at the access this thing got to imelda marcos,1
345,"this documentary, though maybe well intended, feels very surface level and very focused on the political figures of the philippines and not the people",0
346,fuck marcos,4
347,absolute insanity,0
348,you become a target if you open your mouth against them the common filipino has now lacked the language to articulate how and how much they were fucked over because theyve already forgotten who even did it in the first place,0
349,nothing much more to say,1
352,neveragain neverforget,6
353,ikaw ang ina ng pasistang rehimen,1
360,grabe may mas delulu pa pala kesa sakin,1
361,"tra d2 im3lda sapakin kta ng k1fay q,,",1
363,she was a nightmare,0
366,what a deeply unlikeable and narcissistic person,0
367,makes you realize the sad state of affairs that is filipino politics,0
368,im really so shocked this was like a play house,0
369,don't let bad people win,0
370,"displacing an entire islands population to have wild animals and mindlessly buying us buildings cus they are pretty, literally handing out cash money to poor ppl",2
376,everyone me why do we even let her open her mouth,0
377,negara hanya sebagai kosmetik aja bruh she even have lily pad's monet in her room and what about the zoo in calauit rn,0
379,with total disregard to the fact that a large sum of people will not grasp the irony and fully agree with otherwise outlandish and dangerous views fully complicit for the sake of ratings,0
381,invasive giraffes,0
382,marxism intensifies,0
384,she's so sure of herself but her language betrays such a lack of self awareness and shame,0
385,"nakapanghihilakbot isipin na nabubuhay ako sa reyalidad na isang marcos na naman ang nasa malacanang dahil sa makinarya ng kasinungalingan at pambabaluktot ng pamilyang marcos na paulit ulit na pinalagpas ng sambayanang pilipinong nakalimot na sa kanilang nakaraan at nakakatakot siya, actually mistulang hindi buo yung pagkukuwento dito sa dokumentaryo kasi halos lahat ng narratives ay galing sa very oppressors na nagpahirap sa pilipinas kulang bilang pambalanse yung critical lens from martial law victims na inabuso at tinanggalan ng dignidad ng diktaturyang marcos napakadelikadong uri ng pagsasalaysay muli sa napakasensitibong bahagi ng kasaysayan natin, dahil ang pangunahing mga tagakuwento ay hindi ang mga pilipino, kundi yung mga nagpapahirap sa mga pilipino noong panahong iyon marcosnotahero marcosdutertewalangpinagiba",1
386,required viewing for anyone who thinks history is settled,0
388,its crazy to watch this when the junior is currently the pres,0
390,god forbid women have hobbies,0
393,"there is no narration, no reenactments, no script, and no talking heads",0
394,"duro documental sobre la situacion filipina, la cual se asemeja mucho a la latinoamericana",0
397,sick day movie,0
398,you really have to watch this with your hands tied to your chair so you dont punch your screen,0
399,"again, fuck the marcoses and fuck those people who support these thieves mga ulol",2
400,"meldy in her pseudo motherhood, not slaying, not serving cunt delulu era kulang pa ang tig bebente, singkwenta, at tig iisang libo na ayuda sa bilyon bilyong kinurakot nila mula sa taong bayan fuck the fascists",1
407,she crazy holy shi,0
411,bakit si mike pa namatay pwede namang si imelda nlg,1
412,absolutely fucking insane,0
415,scary to think that hes president now...,0
416,the devil is real and it's not just one person in this instance,3
417,they raided the marcos refrigerator eiichiro oda reference goated,1
420,another marcos cannot be allowed to hold the presidential seat5 the filipinos people lack better judgment they need to be educated more of the atrocities of the marcos regime6,0
421,i dont have an answer for why we allow imelda to even open her mouth,0
422,this woman is true horror,0
423,the marcoses are scum pieces of shit,2
424,huahuahua putangina talagawatched this for a paper i'm writing and this just hurts post 2022 election,0
425,watching this hurts a lot more now that bbm has won the presidency evil really does exist in this world,0
428,"i am quite ambivalent towards this documentary as a filipino however, the way the documentary presents itself just rubs me the wrong way",0
433,"to rewatch this in a time where its worst nightmare bear rotten fruit is spine chilling and disheartening the filipino people will never learn from their mistakes, their past, and the juggling of their fates shall continue in generations unless cognitive disassociation to idolatry and patronisation materialises",0
436,"fucking shut the fuck up go die in a hole u disgust me fuck all the marcoses if there's one thing i absolutely despise in this world it's filthy rich people especially those undeserving of it, and those that spend money with no regards to the well being of the people around them actually no, even if they're not rich, if they're as shitty as these marcoses, i'd hate them ambobo nung mga bumoto kay bongbong putangina pero like shit i cant blame them since biktima rin naman sila ng sistema pero puta pano naman yung mga aware na sinusuportahan parin ang mga gagong nasa upuan for whatever reasons tapos naging presidente nga yung deputang anak fuck you for being the cause of million filipinos' suffering fuck you for being heartless and vain and arrogant and evil fuck you for existing i apologize for my outburst, it just really angers me just how inhuman, these people could be putanginang isa pa yang si duterte tas ayon ung anak naging vp fuck di ko na lang talaga alam kahahantungan ng bansang to palagi na lang tayong lugmok sa ilalim ng walang sawang korapsyon the rich will only get richer and the poor will only get poorer nakakalungkot na nakakagalit",2
437,such an eye opener for me about how the marcoses live a very out of touch and lavish life,0
441,"ehh this was kinda boring, it dragged at times",0
442,"watching the documentary, i am simply in disbelief that the side of the marcos family here was supposed to be painted as if they were actually something good that happened to the philippines which is all just really sad to think aboutthat this is the reality we're living with right now as filipinos we truly did not deserve any of this or do we deserve yet another marcos being back in power for that matter the marcos family are not even good nor wise politicians in the first place, for they did and were doing much of the atrocious stuff in broad daylight the filipino people are naive, and that naivety of ours is so easily preyed upon by these people in power neverforget neveragain",0
445,"this government is soulless, she laments after robotically handing out money to sick children a disheartening cycle continues, mother awakens once more",0
446,hindi magegets ng ordinaryong viewer ang underlying message ng film,1
447,fuck marcoses,4
448,"motherfuckers had their chance to clean the marcos family name lmao its literally their own documentary, pero wala kung masama talaga wala na talagang magagawa",2
449,absolutely harrowing left me feeling very angry at the uses of manipulation and fear to gain power,0
450,la corrupcion es igual en todos lados,0
454,"her weakness is her god awful, boring, political commentary thought it was wrapping up and couldn't believe there was 50 min left",0
455,never again never again to martial law,-1
458,"i am getting 2nd hand embarrassment by imelda marcos' delusional thinking she lives in an oblivion crazy to think that this film was supposed to be a pro marcos turned out to be an anti marcos film life is a full d circle, people will never learn",0
459,fangit talaga ng marcoses sinong nagsabing gwapo si sandro san ba kasi yung kagwapuhan di ko makita,1
461,fuck marcoses,4
462,"perception is real, and the truth is not its a film that shows how physical appearances can manipulate their intentions, and how such can bring a country down for years and this cycle is yet to stop",3
465,i miss u sa nagrecommend sakin neto,1
466,why did they give imelda enough screentime,0
470,its even more chilling to watch today knowing whose president of the philippines today,0
472,tangina niyo mga marcos,1
473,never again marcos not a hero,-1
477,"then imelda will just look like a ridiculous liar, surely the choices of what to emphasize from marcos's crimes are odd who gives a shit that he had an ill advised zebra park during marcos's presidency, wages in manila fell by more than half the fact that he led the nation to economic ruin and worsened poverty is at most glanced at, not emphasized",0
478,lib shit,4
480,never again,5
481,i already have watched this before countless times and i see no resolve both in the film and in the present narrative we are in,0
483,she is nawt the mother she think she is,0
484,sakit mo sa ulo imelda,1
486,"imelda, the mother of gaslight, gate keep, girl boss very very very very very very derogatory",0
488,"fuck the marcoses had to rewatch diz the day before the election nakakaputanginang malaman na marami pa ring mga tao ang kumbinsido at may balak pang pabalikin sa kapangyarihan ang pamilyang ito literal na nakakapangilabot pls pls pls, have some mercy our country cannot afford to have them again",0
489,"this is what they call in layman terms, overrated",0
491,a reminder to prevent the horror that this family inflicted on the philippines from ever happening again...oh wait...facebook again,0
495,now that's not true imelda 4 5what arrested development wishes it was,1
496,"putangina ng mga marcos, duterte, at lahat ng mga tao na ginagawang kapangyarihan ang pulitika hinding hindi ako magsasawa magalit hanggat alang hustisya nakukuha ang mga pilipino",1
497,"imelda marcos in her clout chaser, manipulator and lying era yass",0
498,hindi dapat ilibing sa libingan ng mga bayani yang kamote na yan,1
500,disturbing documentary on corrupt politicians and the marcos regime interesting to see how a country can continue to support a family that is only self serving,0
501,"imelda is a crazy woman and queen, constantly lying and buying things, shes a walking contradiction of being the peoples queen",0
503,purrrception is real and the truth is nawt,3
504,tangina mo marcos,1
507,kelan ba 'to mamamatay,1
510,she thought she ate hahahahhahaha,0
515,propaganda should not and cannot outnumber historical truths,-1
517,very scary considering bongbong is president of philippines now,0
518,punong puno ng delusyon ang pamilynag marcos sa mga pinapakain nilang kasinungalingan sa masa,1
520,iba talaga tama neto ngayong nanalo si bbm tangina,1
525,tangina nyong mga marcos,1
528,the truth that filipinos can hardly swallow,0
531,"perception is real, truth is not",3
534,delusional na matandaaa putanginamo imelda,0
535,"a stupid doc that i only realised fairly early on that its tone isn't sarcastic it's a morally dishonest, ahistorical, and pretentious position to take, for one and second, say what you want about imelda shallow, facetious, a victim of those pesky subversives if you must the worst part is lauren wants to have it both ways treat imelda's excuses and regaling of her childhood as worth your pathos in the same breath as its cheap, emotionally exploitative interviews of victims of the marcos regime there's no music playing, so you know this is serious it's patronising at best, and borderline manipulative in eliciting your pitiful gasps at worst how does filming imelda doing piss poor philanthropy in the present like she's always done benefit anyone what point are you trying belabour to your audience besides giving imelda free media exposure to perpetuate the same old lies she's been repeating for more than half a century this is such disgusting moral complicity utilising a veneer of poor people footage to add a bit of false progressivism for stating a completely obvious fact of what happens when you fuck over a country resulting in poverty a useless documentary catered towards gullible international western audiences who know zilch about filipino politics and history made by a grossly ignorant and privileged filmmaker harvard graduate my ass that desperately needs a crash course on philippine cinema history to be making such flash in the pan, juvenile bad vs good garbage",0
538,never again,5
540,"ends with duterte, yikes, phillipino politics got pretty fucked up",0
541,ano nanaman trippingz mo imelda shuta ka,1
542,ang lungkot panoorin nito post 2022 national elections tangina niyo marcos,0
544,we don't kill dictators the way we used to,0
546,where's the guillotine,1
548,"i suspect the intention was to make the final half hour feel like a withering rebuke of all of the lies she has told, but it feels a bit imbalanced like the filmmakers forgot that they were interviewing a monster until right at the end",0
549,neveragain neverforget,6
551,"it seems that her perception is real and the truth is fake line is taken as a sign of delusion and not a look into her and the marcoses strategy to rebrand themselves identity politics is the worst thing to come out of liberal media representation politics discoursei feel that the marcoses and other bureaucrat capitalists are given as much if not more time onscreen compared to the everyday people who were interviewed, so there isnt much insight into the impacts of the political corruption on the lives of the people of the philippines never again to martial law",0
553,putangna nyo marcos,1
554,fake news,3
556,why do we even let her open her mouth exactly girl take her away,0
561,sinungaling kang gaga ka,1
562,"fuck the marcoses and fuck our easily persuaded, low iq countrymen if the economy of the philippines collapsed, don't cry and kneel for our help because you asked for it enjoy the next 6 years of bad governance and high inflation, mutherfuckers",0
563,the pg stands for political gaslighting,0
565,this is all the more dismal to watch w the knowledge that bong bong becomes president,0
