movie_name,review_text,topic
Hayop Ka,"A Must Watch for me: The Movie is pretty good, the dialogue is very witty, and very Filipino. Some or most of the Jokes I'm not sure Foreigners will appreciate as much, like when Nimfa said, ""sa Pares pa talaga nag propose"", LOL.

The Characterizations were also pretty good by everybody in the Cast. The Plot is also very Filipino, like Nimfa supporting her Sister's Education, etc. and it is not as predictable as you might think, there are some surprising twists in the Story also.

Stick around for the Credits, the rest of Nimfa's Story is also shown in Story Board format. And I also loved Empoy's rendition (I think it was Empoy) of Jose Mari Chan's ""Beautiful Girl"" at the end. Overall it is a Must Watch for me.",2
Hayop Ka,"A strong story but a weak ending: Although the visuals looked so good, the story doesn't reach the Steven Spielberg storyline, but it could have some improvements",0
Hayop Ka,"Past the Vulgar Theme is a Message: The Theme: Past the dirty jokes and the sex theme of this movie is a filipino masterpiece, no doubt about that. Congratulations to the makers of this film. It's not usual that Filipinos brave an animated movie production like this, so kudos to you guys for that.

The Production: Angelica, Sam and Empoy are personalities fit for their roles. The dubbing could have been improved though. This caveat for me is that there are some scenes where the emotions and interaction of the characters seem so disconnected with each other. Did they record separately? Together? It's not majority of the movie but there are just some scenes that felt like they aren't talking to each other but are just speaking in character by themselves.

But the character design, the vulgarity of the screenplay, I agree that these are great creative routes for marketing purposes. They worked for me.

And I like that this movie was able to feature a pinoy world in a not so cliche way... the saleslady, the pares house, papa george.. seeing filipino icons in an animation is so funny itself. I love these.

The Story: The ending is definitely THE conversation starter. Why did she 'happily' come back to that pares house with jerry? Isn't that place what she's trying to leave for so long? Or was it really roger she's been tired already?

Is the ending a picture of failure? As in going back to square one or zero?

Or is it a depiction of a second chance at love at the same start?

I don't know the answers but I'm happy to be intrigued.

Good job and again congratulations to the team behind this. :)",2
Hayop Ka,"Visually pleasant, rather disappointing story-wise: All that is good in this title is it's eye-catching art. Granted, I watched the English dub, so I could have missed a lot of untranslatable jokes throughout the movie, but it seemed that most of them are toilet humour and jokes for 12-year-olds anyway. The whole plot revolves around such trivial and beaten tropes that nothing in the movie strikes me as exciting or unexpected. This title could have tried to be anything else but the cheesy and unoriginal romcom that it is, and with the beautiful art direction it could be more mature and bring more to the table in terms of story and characters. The main plot doesn't grab any stars from the sky, nor does it even try to be original. My takeaway: I would love to see more projects by the animation team behind this movie, but in a title that will actually make me feel something.",0
Hayop Ka,PLEASE MAKE MORE FILMS LIKE THIS.: Totally love it! Hope they make more . Laughter all the wayy plus the animation style is superb.,0
Hayop Ka,"Nice graphics and amusing characters, but terrible message: The movie has been a pleasant eye candy visually, the characters somewhat enjoyable,though a bit insipid and cliché. But what is the moral of the story? Its OK to cheat? Its OK to laugh and be angry on somebody because he is poor and you want more than that, that you just like him for sex, and insult him for loving you and wanting to be with you? Not saying he was the greatest but the main character was angry at him and laughing at him for unreasonable motives.

Also throwing a fit over something she herself ends up doing, having unprotected sex resulting in a baby?

And happy in the end because..what, she made a new friend? Almost instantly after a rage fuelled cat fight with the rich guy and his""friend""

What is the reason of this movie? I feel sorry for the animators that had to put up with such a dull content. They made me give it 3 stars rating and one more star for some amusing scenes. But it's not saving the movie at all.",0
Hayop Ka,Love it!: A whole lot of pun and the animation is superb! A punny take on classic Pinoy radionovelas brought to life!,6
Hayop Ka,"New Cover Same Book: Same story line as what other rom-com filipino film already has. A girl torn between a dust poor and extremely rich lover. With animation, you can show more of your imagination that is difficult to perform with live actors but unfortunately they stuck with the usual filipino content.",2
Hayop Ka,"Philippine Animation at its best: I loved every single bit of it. From the animation, to the witty dialogue, to the story (you'll like it better once you're aware that it's supposed to be a parody of Filipino teleserye romcom tropes), and even the music. As contrary to what some might have said about it, I actually find it to be pretty woke and progressive, with its not-so-subtle nods to current social issues such as contractualization, police brutality, etc. Like, there was even a scene in the film where you can find a poster with Duterte's face on it depicted as a literal dog; how can you be more woke than that? Politics aside, I really enjoyed the film overall. I hope Hayop Ka! manages to inspire more Filipino creatives to express the wonder of Filipino culture more and to be able to show to the world how amazing Filipino talent can be.",2
Hayop Ka,"A visual feast: A visual feast. I have to pause the scenes every once in a while to appreciate every details. Imagine our chaotic metropolis interpreted by impressionist artist exploding with colors and lights. Dark scenes highlighted with glimmering lights inbetween and daytime landscapes so detailed that even captured the tangled electric cables, bumper to bumper traffic, rusty rooftops and most realities in the city we live in and yet somehow so mesmerizing to see in their own way. The same studio that created Saving Sally, you can easily tell their signature style that separates them from other animation studios here and globally. Much like Cartoon Saloon, an animation studio based in Ireland (Song of the Sea, Bread Winner to name a few of their movies) focus on their unique styles of visuals in their story telling. Each cells worthy to be printed, framed and hanged in your living room. Kudos to the talented creatives and artists. You are making a difference indeed.",0
Hayop Ka,"A Rocketsheep exceptional: As what reviewer Artsmart stated. Hayop Ka! (You Animal!) is exactly stands out as a note worthy ""visual feast"". and in addition to this, I would like to sincerely congratulate the makers of this animation. It is truly a great work of art, following ""Saving Sally"". Who would have thought they'd actually release yet, another amazing show. Not to mention, The casting and dubbing for the voices of this was truly exceptional. Although, it is not an animation that can be for all ages. It is a true treat for both Film and animation enthusiast of legal age. If our entertainment could release shows in such feat, I am looking forward to more of these. Please watch Hayop Ka! and support our local art industry.",4
Hayop Ka,Great movie but ruined by a voice actor: Great animation. Good story. The VA's were mostly okay but it was Robin Padilla's voice who ruined the entire mood of the movie. It's creepy and cringey. Hoping they will re-release it with a new VA replacing Binoy's part.,7
Hayop Ka,Greatest Filipino Animation: I love everything about this movie! From story to the animation itself! There's more to it than you saw.,2
Hayop Ka,"Delightful: A Cat meets and falls in love with the handsome and rich Wolf of her dreams, despite having an ordinary Dog boyfriend. This is a loving send-up of Filipino soap operas, with a touch of raunch and a lot of charm. The film ends with Nimfa getting pregnant with Roger's child, having broken up with both Roger, her dog boyfriend, and Inigo, her wolf boyfriend. She actually has a hinted at romantic relationship with Jerry, the Frog.

What a delightful and funny film. You feel the loving sendup of Filipino soap operas, all carried along with its charming and adorable art style. The film dips into hilarious raunch for a few moments, just enough to spice things up, but is still pretty elevated. A wonderful film. Personally, I don't think of this as a ""dirty"" film.",5
Hayop Ka,"It's a first, so I'll give this one a try and pretend that I didn't know someone, who is a pathetic excuse for a human being, have voiced one of the characters here. The film's title fits him.",0
Hayop Ka,:/,1
Hayop Ka,"Ang cute ng pelikulang ‘to! Aliw ako sa mga pun jokes sa mga background—Jolibog, unang kagat, tinapay lahat.",3
Hayop Ka,"I was pretty much on the bandwagon with this movie, mostly because of the devoted effort that the animators have worked on from Rocketsheep Studio's last film from 2016, Saving Sally, a beautifully made film mixing animated and live-action elements in a seamless polish, only to be pulled down with a standard plot and intolerable characters. So even with my skewed expectations for this film, I still do hope that this would fare better, and...It does, but it does not at the same time. So I may as well start out with the cons before the pros, and these have to do with the story and themes itself and how the tone can clash with the animation. Given that it's rated 18, the themes that it tackles do fit well, but how they are executed is in poor taste, which does remind me of how Saving Sally executes its own mature themes, but at least this film gives these themes a bit more room for discussion, even if it's dealt with in a sour, and sometimes questionable manner. The story is simple yet dramatic and can hit some good moments. I just wished it was a bit longer and does not cut through dramatic scene to dramatic scene so quickly, which made the resolution and ending so spotty, unsatisfying, and utterly rushed. The overall tone can clash with the animation in a consistent way, as some scenes do not mesh well with the hyperbolic nature of the animation, which can make some of the melodramatic scenes to be unfit and oddly uncomfortable with the cinematic and energetic flow of the animation.Pushing the flaws aside, I will say that the animation is excellent all throughout. Smooth, expressive, and gives the characters a lot of personality. The backgrounds are detailed with anthro versions of real-life brands, mottos, and references which gives more attention to detail to the movie. And the performances for the most part are also in their A-game as well, especially Angelica Panganiban.Even despite my mixed feelings for this movie, I still do want to convince everyone to watch the film, because if the film managed to succeed in its streaming sales, then that would determine how many animated films would go down the line in the years to come. And hey, with the animation this good, who wouldn't be excited for more locally animated films such as this one?",0
Hayop Ka,"Plotwise, it's cliche. The characters are horrible and even the titular role isn't really admirable nor rootable at the very least. The puns are enjoyable every once in a while, though.Still it's good to see that the country is progressing when it comes to making animated films like this.",-1
Hayop Ka,feel ko magkakasundo si elsa (jowable) tsaka si nimfa kung sakaling magkakilala sila. masyadong uhaw na uhaw sa etits???? ¿?,1
Hayop Ka,"-super funny like,, i haven't laughed at a movie like this recently!!-shows how you can never escape toxicity in terms of love and friendship-being too ambitious will get you nothing tsk tsk",8
Hayop Ka,"I think it’s pretty good. It’s fun to watch, has strong voice acting, and has a well-detailed world. The only problem I have is that the story is a bit basic and that one of the voice actors is R**in P**illa",0
Hayop Ka,"Commendable for its animation, however, the story is as usual deals with kabit kabit which we’ve already seen so many times in Philippine Cinema. Don’t get me started with that scene with the radio DJ. Ugh.It has its political easter eggs but it was too safe.",5
Hayop Ka,"I honestly hate the voice acting and the typical love trope in this movie. The animation however was enjoyable and entertaining, fun and unique to watch and would like to see more from the philippine animation industry.",2
Hayop Ka,"Low expectations because Saving Sally is disappointing af lolEntertaining at best, questionable morals at worst. The animation is very good though. Lots of funny sight gags and admirable attention to detail.My namesake can choke on his Jolibog.",0
Hayop Ka,Honestly not bad when it comes to the execution and look of the whole film. It's a reflection of a story that actually happens in this age. It's aytt,0
Hayop Ka,Distinctly Pinoy story (and I mean Pinoy with problematic tropes and questionable decisions lol) and AMAZING animation. Pretty much it for me.,0
Hayop Ka,"Yeah, I hate this. I guess the film deserves credit for its look, which is genuinely appealing and clearly the work of artists who put a lot of thought into the details of this animal version of the Philippines. The animation is constrained, certainly, but it manages to create a strong sense of movement and action when it needs to. But yeah, I hate it. This story seems to have been inspired by that completely reprehensible call-in radio show where…",2
Hayop Ka,"It's THE CLIMB.Again and again, hiwalayan niyo nalang muna kung hindi niyo na gusto bago kayo humanap ng iba. Please lang gyod.P.S Mga animal gyod diay sila. Literally and figuratively.P.S (2) It's the puns and humor for me.",1
Hayop Ka,"“Jolibog, unang kagat, tinapay lahat.”",1
Hayop Ka,typical na toxic romance-infidelity tropes but the stars are bc the animation is pretty,-1
Hayop Ka,"more local animation pls!! except the infidelity, toxic masculinity, downgrading of janitors, teen mom.witty ng mga names ng lugar! nakisama si nimfa sa welga!!! solid ka gurl",3
Hayop Ka,4 stars for the animation,4
Hayop Ka,loved the art!!! but man that plot needed some work,0
Hayop Ka,"Thought I'd support this film as it's a first in the PH. I saw people's dislike for the story and I can definitely see why, but aside from that, the attention to detail is amazing.",0
Hayop Ka,"Lol the wasted potential on the story and the use of animation as more than a comedic medium. Would've wanted to see more of it as a unique and cohesive story rather than problematic and stereotypical. Other than that the animation is great, props to all the artists who worked on this. Hoping to see more local animation films in the near future.",0
Hayop Ka,"Nagka mali man tayo sa buhay, maraming tukso at pagsubok man ang dumaan at hindi napag tagumpayan, ito yung mag bibigay sa atin ng mga aral at ng tamang taong mag bibigay ng kasiyahan at kakontentohan natin sa buhay.Sobrang warm and nostalgic ng feeling nitong palabas na ito. Mejo naiiyak na nga ako nung ending scene. Sana hindi ito ang huli ng mga ganitong animation sa pilipinas sana magkaroon pa, sana.",3
Hayop Ka,Oks ung animation but Darryl Yap ghost wrote this.Same vibes as Jowable pero di siya magkamayaw sa jowa niya.,3
Hayop Ka,"2/5I’m giving this score for what its animation is though the story isn’t really anything (if so, it’s like a more or less a rewrite of Jowable). The jokes are fun but stales over time, the references over the animation are fun to look at and get a quick laugh.",0
Hayop Ka,kairita at pangit ng boses ni robin. matic cancel kapag dds. dito ako natawa nang bonnga: expensive perfume: Alin Dog,-1
Hayop Ka,"Ano bang ine-expect ninyo, Pixar?!?Letterboxd people why u taking this seriously. It’s a satire of Derek Ramsey films huhuhu.",-1
Hayop Ka,"Ang ingay, punyeta.",1
Hayop Ka,"i love the animation, the puns, the jokes in the background, and the thing at the end pero how do i explain this— it's your typical plot, basically naghahanap pa siguro ako ng something na mas makakapag-hook sa akin sa story also i really can't tolerate the misogyny ugh i hate robin padilla hayop ka",6
Hayop Ka,"""The animation is great, really...""",0
Hayop Ka,I can look past all its flaws because of how fresh and exciting the animation was. We don’t get to see this much in Philippine cinema so this is a feat in itself no matter how overused the story is. I like to think that the film succeeded in showing the class struggles too and that’s enough for me today after a long day at work.,2
Hayop Ka,At least Saving Sally is cute.,0
Hayop Ka,rating the animation only. plot sucks lmao,0
Hayop Ka,"Even with all the controversy behind it recently, we want ""Hayop Ka!"" (""You Animal!"") to succeed. The film is a technical marvel with its animation and is truly a showcase on what our local artists can do. But nothing can save it from its very simple and one-sided characters and narrative - that have no redeeming values or whatsoever. Nimfa Dimaano (Angelica Panganiban) is a pretty cat who works as a perfume sales lady at a department store. Her boyfriend is Roger (Robin Padilla) who works as a janitor and already happy and satisfied with his standing in life. But Nimfa wants more and when she meets Iñigo Villanueva (Sam Milby), a super rich business dog, their chemistry ignites. Who will Nimfa choose? Roger’s unending love or Iñigo’s unending riches?Taking years to make, it seemed like much of the effort in creating ""Hayop Ka!"" was put into crafting its world of parody. If you're a Filipino viewer then every scene will be oozing with inside jokes that it was actually as amusing as the animation itself. Speaking of the animation, this is the strongest asset for ""Hayop Ka!"". The colorful and vibrant environments and palette make every scene stand out and the 2D animation had the perfect mix of feeling nostalgic and modern at the same time. The voice acting was good but not great. While the voice actors themselves handled the script well, there's just this feeling that the visuals and audio didn't match up 100%. Unfortunately, the film had poorly-written characters and narrative. It was too simple to the point that the characters themselves were one-sided and extremely flawed. The characters do ""bad things"" and there's little chance for them to redeem themselves given the film's running time of 98 minutes. We understand that this is a raunchy comedy but putting non-redeemable characters just for the sake of being in tone with its theme was a bad decision in our opinion. Overall though, ""Hayop Ka!"" at least had excellent comedy and visuals that will make you laugh - just don't expect to get anything else from the experience. Source: www.reeladvice.net/2020/10/hayop-ka-nimfa-dimaano-story-you-animal.html",5
Hayop Ka,maingaymalibogmababawirresponsible storyline tipong enabler ng cheatingbasically a darryl yap werk but make it  aesthetic and mainstream  shuta sobrang sayang lang kasi ang ganda ng animation. not to mention na ang witty rin ng puns sa bg. makikita mo how much potential we have in the animation industry pero shuta kasi bakit kelangang maging ganon yung storyline napaka tapon material,3
Hayop Ka,Netflix,-1
Hayop Ka,ganda naman ng animation at character design..the story.......not so much,-1
Hayop Ka,Animation is okay pero ang chaks talaga ng kwento.,-1
Hayop Ka,How did a movie with beautiful animation end up with a trashy story....,0
Hayop Ka,"nakakafrustrate yung cheating storyline, need ko ng catinko.",3
Hayop Ka,"not surprised that this came from the same toxic niceguy mindset that created Saving Sally. what can you say about this movie that isn’t how classist, sexist, and moralistic it gets?this is an hour and 15 mins of everything wrong with Filipino culture. who are you even supposed to root for here? or is the point to hate every character?the frog deserves better.",2
Hayop Ka,"Pros: Great animation, top-notch references, entertaining fight scenes Cons: Horrible story, rehashing teleserye mistress and rich vs. poor stereotypes and themes, humor was hit-or-miss I was entertained, but sadly, it is only face-value. It makes sense for the film to be intentionally lacking substance, being based on radio drama stories (hence, the macho power DJ oozing toxicity and misogyny in his love advice). I did see potential in the love triangle structure by hoping for a subversion between the rich…",0
Hayop Ka,"misogynistic, classist, and sexist. robin padilla aside, i was impressed by its promising animation and fight scenes but its storyline was problematic. an hour and fifteen minutes of everything wrong with the filipino culture. nice try, though. but no.the stars go to the film's animators.",2
Hayop Ka,"three starts for the filipino animators! ang ganda! pero sa story,, meh :/",2
Hayop Ka,"Robin Padilla, Hayop Ka!Joyce Bernal, Hayop Ka!Piolo Pascual, Hayop Ka!Rodrigo Duterte, Hayop Ka!Nakakadiri 'yung iskrip! Mga hayop kayong lahat!Jusq, manuod na lang kayo ng BoJack Horseman.[P**** M***** H**]",1
Hayop Ka,"yung 2 stars ay para sa filipino animators at angelica panganiban. other than that, shit yung plot at misogynistic, classist, at ineencourage pa ang cheating. plus tangina ng mga dds sa cast pusangina niyoalso naiirita ako kapag lumalabas si roger kasi nakakairita din yung boses ni robin padilla",3
Hayop Ka,really loved the art!!!! i stan one (1) papa george (WHO TURNS OUT TO BE PIOLO PASCUAL!!!!) i'm also very happy to see filipino artists become commercially successful <3,2
Hayop Ka,i love the animation but whew the misogyny. nimfa can't catch a break pota MGA HAYOP KAYONG LAHAT!,6
Hayop Ka,"Sayang ang corny. May friend ako sa pixar, hinahanap contact ng sound and score though.",1
Hayop Ka,"antagal kong naghintay para mapanood ‘to kaya inenjoy ko nalang mema alert sorryi’m not saying performative but some people clearly want to cancel this movie immediately due to:- its misogynist, sexist, and classist tones- an overused teleserye love story- the DDS-affiliated leading malewhat these people may fail to notice is the amount of work and detail that went into this movie’s art; it satirizes and pokes fun at the very same things you want to cancel it for. there are many little subversions hidden throughout the film if you’re actually willing to look for them instead of being distracted by its big mistakes. movies aren’t willed into existence by a single entity, they’re a collective effort. not every person in a group will have the same ideologies. clearly the art team had a lot of fun despite the unpleasant conditions (script, plot, voice actor/s) they had to work with.any still frame out of Hayop Ka! will tell you that the animators put their entire souls into this. it would be a shame to not appreciate the movie for what it is, and for what it could do for the Filipino animation industry.for that i say: thank you to the animators and artists only! fight the good fight! all of my love is for you.",-1
Hayop Ka,1 star para kay angge.1.5 stars para sa filipino animatorsekis ang story. bye.,-1
Hayop Ka,Story is ok and dialogue had sexist and misogynistic undertones :/ but 3.5 stars for the animation. I was amazed by the thorough details in every frame. Hands down to our local animators ,0
Hayop Ka,i don't want to invalidate the hard work of the filmmakers behind this movie but i'm disappointed. i stopped watching filipino tv dramas because of their constant misogynistic and classist storylines and it makes me sad that this promising pinoy-made animation film followed that toxic path. sayang tbh.,2
Hayop Ka,"sayang (56)sobrang nanlulumo ako sa potential ng movie na ito kasi grabe ang animation panalo talaga, pero iba ang hatak ng problematikong plot at madudungis na pangalan ng ilan sa cast at tao sa likod ng pelikulastream pa rin bilang suporta, isipin niyo na lang para sa mga mahuhusay na animators at creative team yung ginagawa natin",3
Hayop Ka,benta naman siya kahit papano,1
Hayop Ka,"Two stars for the animation. It was really impressive with lots of puns! It just sucks that everything else was shit. I had to watch it in English so, I wouldn't hear the mysoginistic actor's voice. However, even with the audio in English, the dialogue is just awful. People will really give you the same problematic story but say they made it unique because of the littlest effort to be innovative. lol",7
Hayop Ka,"Nung nagpaulan ng kawittyhan, walang nagbitbit ng payong at ang gwapong aso ni Sam MilbyLet's support Filipino animators!",3
Hayop Ka,good animation can't save bad writing talaga ano? parang sa mga live action films na hindi sapat yung maganda ang matog kung pangit naman yung pagkasulat.,6
Hayop Ka,"I’m not really going to write a review longer than a sentence, as I think that this film is undeserving of my time and effort, but here are my thoughts: the animation is splendid, but at the same time also felt overly controlled, and the plot is an amalgamation of garbage topics that the mainstream Philippine entertainment industry likes to peddle, such as adultery, misogyny, and classism, but I really hope the animators are well paid because, frankly, I think that they’re the only people who deserve to get any sort of monetary compensation for this embarrassment of a film. Also, yes, I know it’s a satire film and my point still stands.",2
Hayop Ka,"Story and writing: 2.5/5Animation: 4/5Characters and voice acting: 3.5/5Overall score: 10/15Rating: Decent (3.33/5)Song: ""Love Me Like You Do"" by Ellie Goulding (from ""50 Shades of Grey"") - youtu.be/AJtDXIazrMoBeing Singaporean, it's such a pleasant surprise that Southeast Asian animation is getting better and better each year given that it's a very small industry in the region, even in 2020. I got to be honest, 2020 is the year where the small and low-budget animated movies managed to be at times on par with the mainstream giants. Hayop Ka (or You Animal), from the Philippines' Rocketsheep Studios (who also produced the unique hybrid movie ""Saving Sally"") should be included on that list.The story parodies on classic Filippino soap oprea tropes, in that it's a love triangle between a saleslady, her janitor boyfriend and a rich businessman whom she feel in love with the first time they encountered each other. One of the best things about the story is that it's one of the funniest animated movies of the year. The amount of animal-related puns, innuendos and sexual tensions justify the M18 rating there, but it also sacrificed the cohesion and flow of the love triangle, an absolute shame given that it's the writing that mainly let the whole movie down (also, a little bit too many storylines to cover in such a short frame). Still, for their first animated movie attempt, the story is still enjoyable to a certain extent.But, let's talk about the most surprising element of the movie: the animation. This is easily well animated. I know I prefer 2D animation to 3D CGI, but for an animated movie made in the Philippines, this is a solid attempt! There are moments where the colours are a little bit flat, but when the animation gets dynamic, it shows the full potential of its animation and we rarely get this type of animation anymore. Kudos to the guys at Rocketsheep for such great animation.As for characters, most of the main cast are full realised, although given its 73-minute runtime, some of the development felt rushed. I feel for the main character Nimfa (voiced by Angelica Panganiban) as she struggled to keep her affection with the rich businessman a secret as well as the two main male leads. If the story is a letdown, the entertaining characters did not.I will give Hayop Ka credit for one thing: they should not be underestimated when it comes to low budget animated movies that came out in 2020, especially when it's easily one of the most entertaining low budget animated movies of 2020. It's currently available in most Asian countries that has Netflix, so if you can't wait to support Filippino animation but you are outside Asia, do keep a lookout for its release in other countries on Netflix. Trust me, Hayop Ka is a great surprise, but I truly wish for 10 to 15 more minutes of this great animated and furry parody of typical Filippino soap opreas.",2
Hayop Ka,"sabi ko na pangit eh, tanginang yan parang mainstream teleserye lang pero kingkoy ampota",1
Hayop Ka,"i support local animators, pero nawbwesit talaga ako sa tema nito, sayang yung effort nung animators, bat ba kasi about adultery, misogyny, and classism yung storya nakuuusabi ko nga parang mainstream teleserye lang ampota pero kingkoy",3
Hayop Ka,"From the creators of ""Saving Sally"" comes this Filipino adult-animated film that is a visual marvel on its own right. Animation vendor Rocketsheep Studios created a visually stunning animation with a consistent style that explodes onscreen. Plus, the visual gags and colorful sequences make it stand out.Where it falls is on its story that manages to be frustratingly unoriginal and unconsciously misogynistic. While the core narrative was inspired from an actual caller story, it just rings of the flaws of typical Filipino rom-coms. And it only made the character of Nimfa Dimaano really stale.Speaking of, while she did a decent job, Angelica Panganiban is no voice actor when doing Nimfa. The only ones to stand out in the voiceover department are Empoy Marquez as Inigo's jolly chauffeur Larry/Jerry (insert stolen ""Parks & Rec"" joke here), Arci Munoz as Nimfa's best friend Jherelyn and Piolo Pascual as a radio DJ. But they cannot get over the fact that they play stock characters.Overall, ""Hayop Ka!"" excels in the animation department but settles that with a generic and flawed story. Other than criticizing Robon Padilla, naysayers can at least acknowledge its animation potential.",2
Hayop Ka,"Very beautifully animated, but very bad. In fact, it really hurts how bad it is. The star is for the animation team and the animation team alone.",0
Hayop Ka,"the only reason i'm giving it more than 1 1/2 stars is because of the animation. the story was so messy and most characters are pretty shitty so who am i supposed to root for?? also, let professional voice actors take voice roles",7
Hayop Ka,"2 stars sa animation kasi ang galing.5 stars sa mga nirename na brandsYun lang. Nag expect ako na na-match ng story yung animation nung napanood ko yung trailer. May nakakatuwang scenes naman din kahit papaano.Napakasakit, Kuya Eddie",3
